품목기준코드,제품명,제품영문명,업체명,업체영문명,주성분,첨가제,품목분류,전문의약품,주성분영문,효능
202402195,큐에르액(L-카르니틴),Q-er solution,케이엠에스제약(주),"KMS Pharmaceutical Co., Ltd.",L-카르니틴,"시트르산수화물,딸기향(3104145),메틸파라벤,수크랄로스,조합향료(체리향(6009)),정제수",,일반의약품,L-Carnitine,"1. 1차성, 2차성 카르니틴결핍증 2. 허혈성심질환에 의한 심근대사장애 : 협심증, 급성심근경색"
201606139,큐엔디1000연질캡슐,Q&D 1000 Soft capsule,코스맥스파마(주),"COSMAX PHARMA CO., LTD.",유비데카레논/토코페롤아세테이트/농축콜레칼시페롤(유상),"중쇄트리글리세리드,레시틴,젤라틴,산화티탄,비결정성소르비톨액,황납,안나토색소,농글리세린",,일반의약품,Ubidecarenone/Tocopherol Acetate/Cholecalciferol Concentrate Oil,"- 임신 ㆍ 수유기, 발육기, 노년기 - 뼈, 이의 발육불량, 구루병의 예방"
202000234,큐엘파마페닐레프린염산염나잘액,QL Pharma Phenylephrine HCl Nasal Sol.,주식회사큐엘파마,QL Pharma Co. Ltd,페닐레프린염산염,"피로아황산나트륨,수산화나트륨,메틸파라벤,염화나트륨,시트르산,프로필파라벤,에탄올(95),시트르산나트륨수화물,l-멘톨,정제수",,일반의약품,Phenylephrine Hydrochloride,"감기, 고초열, 부비강염, 상기도 알레르기에 의한 비충혈의 일시적 완화"
199400500,큐자임정,Q-Zyme Tablet,(주)유한양행,YUHAN Coporation,디아스타제·프로테아제·셀룰라제/dl-카르니틴염산염/우담즙건조엑스/글리시리진산암모늄/티아민염산염,"합성파라핀,콜로이드성 이산화규소,미결정셀룰로오스,크로스포비돈,폴리에틸렌글리콜6000,산화티탄,페퍼민트향분말(알에프에이-05128),스테아르산마그네슘,히프로멜로오스 2910,인산수소칼슘수화물,탤크,오파드라이흰색(OY-B-28920)",,일반의약품,Diastase·Protease·Cellulase/DL-Carnitine Hydrochloride/Ox Bile Dried Extract/Ammonium Glycyrrhizinate/Thiamine Hydrochloride,"식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토, 소화촉진, 소화불량으로 인한 위부팽만감"
201500437,큐케어로션2.5%(히드로코르티손),Cue-Care Lotion 2.5%(Hydrocortisone),풍림무약(주),"RICHWOOD TRADING COMPANY, LTD.",히드로코르티손,"트롤아민,메틸파라벤,프로필파라벤,세탄올,폴리소르베이트60,경질유동파라핀,마크로골세토스테아릴에테르,카보머 940,농글리세린,정제수",,일반의약품,Hydrocortisone,"습진ㆍ피부염군, 피부가려움, 벌레물린데"
201007339,큐텐업골드연질캡슐,Q10 Up Gold Soft Cap.,한미약품(주),"Hanmi Pharm. Co.,Ltd.",β-카로틴현탁액30%/토코페롤아세테이트/γ-오리자놀/유비데카레논/피리독신염산염/시아노코발라민1000배산/황산아연/황산망간수화물/셀레늄함유건조효모/아스코르브산,"비결정성 소르비톨액,레시틴,콩기름,에틸바닐린,숙신산젤라틴,산화티탄,황색 5호,황납,적색40호,농글리세린,청색1호",,일반의약품,Beta-Carotene Suspension 30%/Tocopherol Acetate/Gamma-Oryzanol/Ubidecarenone/Pyridoxine Hydrochloride/Cyanocobalamin Powder 0.1%/Zinc Sulfate/Manganese Sulfate Hydrate/Selenium In Dried Yeast/Ascorbic Acid,- 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후의 체력저하시 - 노년기 - 이 약에 함유된 비타민 등의 효능ㆍ효과는 다음과 같다.
200608158,큐텐훌연질캡슐,Qten Full Soft Cap.,신일제약(주),Sinil Pharm,유비데카레논/티아민질산염/리보플라빈부티레이트/니코틴산아미드/판토텐산칼슘/피리독신염산염/아스코르브산/토코페롤아세테이트/셀레늄함유건조효모/산화아연/황산망간수화물/폴산/산화마그네슘/비오틴,"비결정성 소르비톨액,콩기름,레시틴,젤라틴,산화티탄,야자경화유,황납,적색 40호,청색 1호,농글리세린",,일반의약품,Ubidecarenone/Thiamine Nitrate/Riboflavin Butyrate/Nicotinamide/Calcium Pantothenate/Pyridoxine Hydrochloride/Ascorbic Acid/Tocopherol Acetate/Selenium In Dried Yeast/Zinc Oxide/Manganese Sulfate Hydrate/Folic Acid/Magnesium Oxide/Biotin,"- 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시 - 노년기 - 비타민 E 말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨·목 결림, 수족저림·수족냉증(손발이 차가움) - 비타민 B1 다음 증상의 완화 : 신경통, 근육통, 관절통(요통, 어깨결림 등) 각기 ·눈의 피로 - 비타민 B2 다음 증상의 완화 : 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염"
200702162,"큐티스점안액(1회용), 큐티스점안액","Q-tess Eye Drop(single use), Q-tess Eye Drop",한림제약(주),"Hanlim Pharm. Co., Ltd",염화나트륨/염화칼륨,"히드록시에틸 셀룰로오스,붕산,폴리소르베이트80(=트윈80),에데트산나트륨수화물,주사용수,글루콘산클로르헥시딘액20%,붕사",,일반의약품,Sodium Chloride/Potassium Chloride,"눈의 피로,눈물의 보조(눈의 건조),하드콘택트렌즈 및 소프트렌즈 착용시의 불쾌감, 눈의 침침함(눈곱이 많을 때 등)"
202401836,크라렉신에스정,CrarexinS Tab.,지엘파마(주),GL Pharma,클로르족사존/에텐자미드/카페인수화물,"미결정셀룰로오스,히프로멜로오스,산화티탄,폴리에틸렌글리콜6000,스테아르산마그네슘,탤크,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Chlorzoxazone/Ethenzamide/Caffeine Hydrate,"신경통, 요통(허리통), 어깨결림"
202103678,크라스벨연질캡슐,Crasbel Soft Cap.,(주)제뉴파마,GENUPharma Inc.,셀레늄함유건조효모/아스코르브산/크롬함유건조효모,"레시틴,콩기름,메틸파라벤,에틸바닐린,젤라틴,산화티탄,프로필파라벤,적색40호,D-소르비톨액,팜유,청색1호,백납,농글리세린",,일반의약품,Selenium In Dried Yeast/Ascorbic Acid/Chromium in Dried Yeast,○ 다음경우의 비타민 C의 보급 - 육체피로 - 임신ㆍ수유기 - 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력저하시
201607154,크램스탑연질캡슐,Cramstop Soft capsule,코스맥스파마(주),"COSMAX PHARMA CO., LTD.",토코페롤아세테이트/산화마그네슘/셀레늄함유건조효모,"콩기름,레시틴,폴리소르베이트80,황색5호,숙신산젤라틴,산화티탄,황납,적색40호,농글리세린,청색1호",,일반의약품,Tocopherol Acetate/Magnesium Oxide/Selenium In Dried Yeast,"- 노년기 - 말초혈행장애 및 갱년기시 다음 증상의 완화 : 어깨·목결림, 수족저림·수족냉증(손발이 차가움) - 마그네슘결핍으로 인한 근육경련"
201505927,크램팩스정,,광동제약(주),"Kwangdong Pharm Co., Ltd.",콜레칼시페롤/글루콘산칼슘수화물/니코틴산,"미결정셀룰로오스,유당수화물,스테아르산마그네슘,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Cholecalciferol/Calcium Gluconate Hydrate/Nicotinic Acid,야간 근육 경련
199101970,크레닉정125밀리그람(클로닉신리시네이트),Clenic Tab. 125mg,하이플생명과학(주),"DIDBIO Co.,Ltd",클로닉신리시네이트,"적색3호,미결정셀룰로오스,히프로멜로오스,황색4호,유당수화물,폴리에틸렌글리콜 4000,산화티탄,포비돈,스테아르산마그네슘,경질무수규산,탤크,옥수수전분",,일반의약품,Clonixin Lysinate," 다음의 경증 또는 중등도 통증의 완화 : 근육통, 신경통, 외상후 및 수술후 통증, 두통, 치통, 귀통증"
201205361,크레온캡슐10000(판크레아스 분말),Creon Capsule 10000(Pancreas powder),한국애보트(유),Abbott Korea,판크레아스분말,"폴리에틸렌글리콜4000,디메티콘1000,세탄올,히프로멜로오스프탈레이트,시트르산트리에틸,캡슐",,일반의약품,Pancrease Powder,(캡슐제) 췌장 외분비 기능장애
201205362,크레온캡슐25000(판크레아스 분말),Creon Capsule 25000(Pancreas powder),한국애보트(유),Abbott Korea,판크레아스분말,"폴리에틸렌글리콜4000,디메티콘1000,세탄올,히프로멜로오스프탈레이트,시트르산트리에틸,캡슐",,일반의약품,Pancrease Powder,(캡슐제) 췌장 외분비 기능장애
202400692,크레온캡슐35000(판크레아스분말),Creon Capsule 35000(Pancreas powder),한국애보트(유),Abbott Korea,판크레아스분말,"폴리에틸렌글리콜4000,디메티콘1000,세탄올,히프로멜로오스프탈레이트,시트르산트리에틸,캡슐",,일반의약품,Pancrease Powder,(캡슐제) 췌장 외분비 기능장애
201205364,크레온캡슐40000(판크레아스 분말),Creon Capsule 40000(Pancreas powder),한국애보트(유),Abbott Korea,판크레아스분말,"폴리에틸렌글리콜4000,디메티콘1000,세탄올,히프로멜로오스프탈레이트,시트르산트리에틸,캡슐",,일반의약품,Pancrease Powder,(캡슐제) 췌장 외분비 기능장애
198400830,크로낙정(클로닉신리시네이트),Clonak Tab.,영일제약(주),YoungilPharm,클로닉신리시네이트,"라우릴황산나트륨,폴리에틸렌글리콜4000,청색1호레이크,미결정셀룰로오스,히프로멜로오스2910,유당수화물,이산화규소,산화티탄,스테아르산마그네슘,카르복시메틸셀룰로오스칼슘,옥수수전분,전분글리콜산나트륨,히드록시프로필셀룰로오스,청색1호",,일반의약품,Clonixin Lysinate," 다음의 경증 또는 중등도 통증의 완화 : 근육통, 신경통, 외상후 및 수술후 통증, 두통, 치통, 귀통증"
201706689,크로니신연질캡슐(클로닉신리시네이트),Clonixin Soft Cap.,(주)테라젠이텍스,"THERAGEN ETEX CO., LTD.",클로닉신리시네이트,"프로필렌글리콜,치자청색소,폴리에틸렌글리콜400,젤라틴,포비돈,정제수,소르비톨 소르비탄액",,일반의약품,Clonixin Lysinate,"다음의 경증(가벼운 증상) 또는 중등도 통증의 완화 : 근육통, 신경통, 외상(상처) 후 및 수술 후 통증, 두통, 치통, 귀통증"
200103131,크로마졸질정100밀리그람(클로트리마졸),Chromazole Vaginal  Tablets 100mg,초당약품공업(주),"CHO-DANG Pharm. Co., Ltd.",클로트리마졸,"젖산,라우릴황산나트륨,저치환도히드록시프로필셀룰로오스,탄산수소나트륨,결정셀룰로오스,유당,포비돈,경질무수규산,스테아린산마그네슘",,일반의약품,Clotrimazole,칸디다성 질염
200103132,크로마졸질정500밀리그람(클로트리마졸),Chromazole Vaginal  Tablets 500mg,초당약품공업(주),"CHO-DANG Pharm. Co., Ltd.",클로트리마졸,"젖산,라우릴황산나트륨,저치환도히드록시프로필셀룰로오스,탄산수소나트륨,결정셀룰로오스,유당,포비돈,경질무수규산,스테아린산마그네슘",,일반의약품,Clotrimazole,칸디다성 질염
200001564,크로베겐에이크림,Clobegen-A Cream,환인제약(주),"Whan In Pharm Co., Ltd.",베타메타손발레레이트/겐타마이신황산염,"프로필렌글리콜,시트르산수화물,메틸파라벤,에데트산나트륨수화물,프로필파라벤,세탄올,폴리소르베이트60,스테아릴알코올,유동파라핀,소르비탄모노스테아레이트,정제수",,일반의약품,Betamethasone Valerate/Gentamicin Sulfate,"- 2차 감염된 알레르기성 또는 염증성 피부질환 : 습진, 접촉피부염, 지루피부염, 아토피피부염, 광피부염, 만성단순태선, 간찰진, 박탈피부염, 가려움, 건선 - 1도 화상"
198900578,크로부틴정(트리메부틴말레산염),Crobutine Tab(Trimebutine Maleate),대우제약(주),daewoopharm,트리메부틴말레산염,"미결정셀룰로오스,유당수화물,스테아르산마그네슘,콜로이드성이산화규소,탤크,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Trimebutine Maleate,"1) 식도역류 및 열공헤르니아,위 십이지장염, 위 십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토) 2) 과민성대장증후군 및 경련성 결장 3) 소아 질환 : 습관성 구토, 비감염성 장관통과장애 (변비, 설사)"
201803130,크로쎈연질캡슐(클로닉신리시네이트),Cloxen Soft Cap.,위더스제약(주),"WITHUS PHARMACEUTICAL CO., LTD.",클로닉신리시네이트,"프로필렌글리콜,치자청색소,폴리에틸렌글리콜400,젤라틴,포비돈,정제수,소르비톨 소르비탄액",,일반의약품,Clonixin Lysinate,"다음의 경증 또는 중등도 통증의 완화 : 근육통, 신경통, 외상 후 및 수술 후 통증, 두통, 치통, 귀통증"
201804386,크로씬탑연질캡슐(클로닉신리시네이트),Cloxintop Soft Cap.,이연제약(주),"REYON PHARMACEUTICAL CO.,LTD",클로닉신리시네이트,"프로필렌글리콜,치자청색소,폴리에틸렌글리콜400,젤라틴,포비돈,정제수,소르비톨 소르비탄액,농글리세린",,일반의약품,Clonixin Lysinate,"(정제) 다음의 경증 또는 중등도 통증의 완화 : 근육통, 신경통, 외상 후 및 수술 후 통증, 두통, 치통, 귀통증"
202400654,크로아존엔정,Chroazone N Tab.,일양약품(주),"IL-YANG PHARM. CO., LTD.",클로르족사존/에텐자미드/카페인수화물,"미결정셀룰로오스,히프로멜로오스,산화티탄,폴리에틸렌글리콜6000,스테아르산마그네슘,탤크,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Chlorzoxazone/Ethenzamide/Caffeine Hydrate,"신경통, 요통(허리통), 어깨결림"
199702485,크로펜정(클로닉신리시네이트),Clofen Tab,미래바이오제약(주),"Mirae Pharmaceutical Co., Ltd",클로닉신리시네이트,"라우릴황산나트륨,적색3호,미결정셀룰로오스,히프로멜로오스,유당수화물,폴리에틸렌글리콜6000,산화티탄,스테아르산마그네슘,경질무수규산,카르복시메틸셀룰로오스칼슘,옥수수전분,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Clonixin Lysinate," 다음의 경증 또는 중등도 통증의 완화 : 근육통, 신경통, 외상후 및 수술후 통증, 두통, 치통, 귀통증"
198800901,크록신정250밀리그램(클로닉신리시네이트)(수출명: 돌핀정),Cloxin Tab. 250mg,진양제약(주),"JINYANG PHARM CO.,LTD.",클로닉신리시네이트,"저치환도히드록시프로필셀룰로오스,탭쉴드노란색(11Y276),스테아르산마그네슘,탭쉴드노란색(11Y264),히드록시프로필셀룰로오스",,일반의약품,Clonixin Lysinate,"다음의 경증(경증상, 가벼운 증상) 또는 중등도 통증의 완화 : 근육통, 신경통, 외상(상처)후 및 수술후 통증, 두통, 치통, 귀통증"
201606264,크록쎈연질캡슐(클로닉신리시네이트),Cloxen Soft Cap.,(주)마더스제약,MOTHER'S PHARMACEUTICAL.,클로닉신리시네이트,"프로필렌글리콜,치자청색소,폴리에틸렌글리콜400,젤라틴,포비돈,정제수,소르비톨 소르비탄액",,일반의약품,Clonixin Lysinate,"다음의 경증 또는 중등도 통증의 완화 : 근육통, 신경통, 외상 후 및 수술 후 통증, 두통, 치통, 귀통증"
202300044,크리롤액(폴리에틸렌글리콜4000),Crirol Solution,(주)한국파마,"KOREA PHARMA Co., Ltd.",폴리에틸렌글리콜4000,"시트르산수화물,메틸파라벤,수크랄로스,복숭아향 6322-B,프로필파라벤,아세설팜칼륨,정제수",,일반의약품,Polyethylene Glycol 4000,변비
199601110,크리맥액(돔페리돈),Clearmax Oral Liquid,일양약품(주),"IL-YANG PHARM. CO., LTD.",돔페리돈,"벤조산나트륨,코라베이스 #61,박하유,실리콘수지,글루코노델타락톤,L-글루탐산나트륨수화물,염화나트륨,백당,폴록사머,파인애플엣센스 TE-9840,마크로골글리세롤히드록시스테아레이트60,정제수",,일반의약품,Domperidone,"오심, 구토 증상의 완화"
200301997,크리바크림(아시클로버),Kriba Cream,알파제약(주),"Alpha Pharm. Co., Ltd.",아시클로버,"프로필렌글리콜,메틸파라벤,프로필파라벤,폴리솔베이트60,세탄올,경질유동파라핀,스테아릴알코올,소르비탄모노스테아레이트,정제수",,일반의약품,Acyclovir,단순포진 바이러스 감염증(초기 및 재발성 생식기 포진과 구순포진 포함)
200100900,크리벤트점안액(크로몰린나트륨),Clivent Eye Drops (Sodium Cromoglycate),삼천당제약(주),Sam-chun-dang Pharm,크로몰린나트륨,"폴리소르베이트80,벤잘코늄염화물,에데트산나트륨수화물,주사용수,D-소르비톨",,일반의약품,Sodium Cromoglicate,"봄철 각막염이나 결막염, 알레르기성 결막염"
198400096,크린조(염화나트륨),Klenzo Solution,제이더블유중외제약(주),JW Pharmaceutical,염화나트륨,주사용수,,일반의약품,Sodium Chloride,"1) 관류 2) 피부, 창상(상처)면, 점막의 세정, 습포(적셔서 대는 것) 3) 함수(양치질), 분무흡입제로서 점막세정, 객담(가래)배출 촉진 4) 의료용구의 세정"
200003491,크린지크림,Clean G Cream,조아제약(주),"Cho-a pharm.co.,ltd",베타메타손발레레이트/겐타마이신황산염,"프로필렌글리콜,벤조산나트륨,피로아황산나트륨,폴리소르베이트 60,세탄올,스테아릴알코올,유동파라핀,디메티콘,소르비탄모노스테아레이트,정제수",,일반의약품,Betamethasone Valerate/Gentamicin Sulfate,"- 2차 감염된 알레르기성 또는 염증성 피부질환 : 습진, 접촉피부염, 지루피부염, 아토피피부염, 광피부염, 만성단순태선, 간찰진(피부스침증), 박탈피부염, 가려움, 건선(마른비늘증) - 1도 화상"
200501216,크린탈정(아세트아미노펜),Crintal Tab.,일양약품(주),"IL-YANG PHARM. CO., LTD.",아세트아미노펜,"저치환도히드록시프로필셀룰로오스,유당수화물,코포비돈,오파드라이 03B28796,포비돈,스테아르산마그네슘,경질무수규산,전분글리콜산나트륨",,일반의약품,Acetaminophen,"감기로 인한 발열 및 동통(통증), 두통, 신경통, 근육통, 월경통, 염좌통(삔 통증) 치통, 관절통, 류마티양 동통(통증)"
200103947,크린팝카타플라스마,Cleanpop Cataplasma,대화제약(주),"Daehwa Pharmaceutical Co., Ltd.",l-멘톨/살리실산메틸/L-멘톨/dl-캄파/노닐산바닐릴아미드,"합성고무에스비알라텍스,폴리소르베이트80,이소프로필미리스테이트,수소첨가 C6-20폴리올레핀,부틸히드록시톨루엔,산화티탄,폴리아크릴산나트륨,러버라텍스,폴리부텐,강암모니아수,박리지,산화아연,유동파라핀,카올린,정제수,농글리세린,부직포",,일반의약품,Methyl Salicylate/L-Menthol/DL-Camphor/Vanillyl Nonylamide,"다음 증상의 진통ㆍ소염 : 타박상, 삠, 요통, 어깨결림, 근육통, 관절통"
200600434,크린핸스크랍(클로르헥시딘글루콘산염액),Clean Handscrub,하이플생명과학(주),"DIDBIO Co.,Ltd",클로르헥시딘글루콘산염 액,"폴리옥시에틸렌옥틸페닐에테르,라벤다향 909146,글리세린,이소프로판올,적색 40호,스폰지,플라스틱 솔,구아검,정제수",,일반의약품,Chlorhexidine Gluconate Solution,수술전 살균소독 (수술자 및 보건위생 종사자의 손소독)
200002990,크마론지크림,Chmaron-G Creams,신일제약(주),Sinil Pharm,겐타마이신황산염/베타메타손발레레이트,"프로필렌글리콜,메틸파라벤,프로필파라벤,세탄올,폴리소르베이트60,라벤더향오일,스테아릴알코올,경질유동파라핀,소르비탄스테아레이트,정제수",,일반의약품,Gentamicin Sulfate/Betamethasone Valerate,"- 2차 감염된 알레르기성 또는 염증성 피부질환 : 습진, 접촉피부염, 지루피부염, 아토피피부염, 광피부염, 만성단순태선, 간찰진(피부스침증), 박탈피부염, 가려움, 건선(마른비늘증) - 1도 화상"
200905692,클라리틴정(로라타딘),CLARITYNE TAB.,바이엘코리아(주),Bayer korea,로라타딘,"유당수화물,스테아르산마그네슘,옥수수전분",,일반의약품,Loratadine,"알레르기성 비염(재채기, 코막힘, 가려움, 눈의 작열감), 만성 특발성 두드러기"
198902516,클레신비액2%(크로모글리크산나트륨),Clesin Nasal Solution 2%,한림제약(주),"Hanlim Pharm. Co., Ltd",크로모글리크산나트륨,"벤잘코늄염화물,에데트산나트륨수화물,정제수",,일반의약품,Sodium Cromoglicate,알레르기성 비염
198802663,클레신점안액(크로모글리크산나트륨),Clesin Eye Drops,한림제약(주),"Hanlim Pharm. Co., Ltd",크로모글리크산나트륨,"염화나트륨,벤잘코늄염화물,에데트산나트륨수화물,주사용수",,일반의약품,Sodium Cromoglicate,"봄철 각막염이나 결막염, 알레르기성 결막염"
202203344,클레어점안액(카르복시메틸셀룰로오스나트륨)(1회용),Claire Eye Drop,주식회사제뉴원사이언스,GENUONE Sciences Inc.,카르복시메틸셀룰로오스나트륨,"염화칼륨,염화마그네슘,수산화나트륨,염화칼슘수화물,염화나트륨,락트산나트륨액,염산,주사용수",,일반의약품,Carboxymethylcellulose Sodium,"안구건조증이나 바람 ㆍ 태양에 노출되어 생기는 화끈거리는 증상, 자극감, 불쾌감을 일시적으로 완화시킴, 안구 자극감을 예방하기 위하여 사용할 수 있다."
202301540,클레어점안액1.0%(카르복시메틸셀룰로오스나트륨)(1회용),Claire Eye Drop 1.0%,주식회사제뉴원사이언스,GENUONE Sciences Inc.,카르복시메틸셀룰로오스나트륨,"염화칼륨,염화칼슘수화물,염화나트륨,락트산나트륨액,주사용수",,일반의약품,Carboxymethylcellulose Sodium,"눈의 건조 또는 바람·태양에 노출되어 생기는 화끈거리는 증상, 자극감, 불쾌감의 일시적 완화"
201804349,클로나인연질캡슐(클로닉신리시네이트),Clonine Soft Cap.,동화약품(주),"Dongwha Pharm. Co., Ltd.",클로닉신리시네이트,"프로필렌글리콜,치자청색소,폴리에틸렌글리콜400,젤라틴,포비돈,정제수,소르비톨 소르비탄액,농글리세린",,일반의약품,Clonixin Lysinate,"다음의 경증 또는 중등도 통증의 완화 : 근육통, 신경통, 외상 후 및 수술 후 통증, 두통, 치통, 귀통증"
200204384,클로닉정125밀리그램(클로닉신리시네이트),Clonic tab. 125mg,화일약품(주),"hwail pharam.co., ltd.",클로닉신리시네이트,"라우릴황산나트륨,적색3호,미결정셀룰로오스,히프로멜로오스,유당수화물,폴리에틸렌글리콜6000,산화티탄,스테아르산마그네슘,경질무수규산,카르복시메틸셀룰로오스칼슘,옥수수전분,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Clonixin Lysinate,"다음의 경증(가벼운 증상) 또는 중등도 통증의 완화 : 근육통, 신경통, 외상(상처)후 및 수술 후 통증, 두통, 치통, 귀통증"
201500449,클로디펜플라스타(디클로페낙나트륨),Clodifen Plasta,(주)에이프로젠바이오로직스,Aprogen Biologics Inc.,디클로페낙나트륨,"바닐부틸에테르,N-메틸피롤리돈,지질박리지,L-멘톨,소르비탄올레에이트,고무계점착용액,아크릴계점착용액,부직포,아이소플레골",,일반의약품,Diclofenac Sodium,"다음 질환 및 증상의 진통, 소염(항염)"
201507256,클로딘연질캡슐(로라타딘),Clodine Soft Cap.,진양제약(주),"JINYANG PHARM CO.,LTD.",로라타딘,"글리세롤모노카프릴로카프레이트,폴리소르베이트80,폴리에틸렌글리콜400,젤라틴,적색40호,부분탈수유동소르비톨,정제수,청색1호",,일반의약품,Loratadine,"1. 알레르기성 비염 증상(재채기, 콧물, 가려움, 눈의 작열감)의 일시적인 완화 2. 만성 특발성 두드러기 증상 완화"
201708036,클로맥스연질캡슐(클로닉신리시네이트),Clomax Soft capsule,코스맥스파마(주),"COSMAX PHARMA CO., LTD.",클로닉신리시네이트,"프로필렌글리콜,치자청색소,폴리에틸렌글리콜400,젤라틴,포비돈,정제수,소르비톨 소르비탄액,농글리세린",,일반의약품,Clonixin Lysinate,"다음의 경증 또는 중등도 통증의 완화 : 근육통, 신경통, 외상 후 및 수술 후 통증, 두통, 치통, 귀통증"
202201131,클로베린정,Cloverine Tab.,주식회사 더유제약,"Theu PHARMACEUTICAL Co., Ltd.",디시클로민염산염/파파베린염산염,"미결정셀룰로오스,유당수화물,스테아르산마그네슘,전분글리콜산나트륨",,일반의약품,Dicyclomine Hydrochloride/Papaverine Hydrochloride,"위통, 복통(배아픔), 산통, 위산과다, 속쓰림"
199701251,클로빈크림(아시클로버),Clovin Cream,(주)제뉴파마,GENUPharma Inc.,아시클로버,"프로필렌글리콜,시트르산수화물,메틸파라벤,에데트산나트륨수화물,프로필파라벤,세탄올,폴리소르베이트60,스테아릴알코올,유동파라핀,소르비탄모노스테아레이트,정제수",,일반의약품,Acyclovir,단순포진(물집) 바이러스 감염증(초기 및 재발성 생식기 포진(물집)과 구순(입술)포진(물집) 포함)
201701734,클로안에스큐점안액,Cloan S-Q Eye Drops,유니메드제약(주),UNIMED PHARM INC.,설파메톡사졸/글리시리진산이칼륨/클로르페니라민말레산염/아미노카프로산,"수산화나트륨,붕산,주사용수,에데트산나트륨 수화물,붕사",,일반의약품,Sulfamethoxazole/Dipotassium Glycyrrhizinate/Chlorpheniramine Maleate/Aminocaproic Acid,"결막염(유행성결막염), 다래끼, 눈꺼풀의 짓무름, 눈의 가려움"
200302454,클로안에프점안액(수출명:참술점안액),Cloan-F eye drops,유니메드제약(주),UNIMED PHARM INC.,설파메톡사졸나트륨/글리시리진산이칼륨/클로르페니라민말레산염/타우린,"붕산,에데트산나트륨수화물,주사용수,붕사",,일반의약품,Sodium Sulfamethoxazole/Dipotassium Glycyrrhizinate/Chlorpheniramine Maleate/Taurine,"결막염(유행성결막염), 다래끼, 눈꺼풀의 짓무름, 눈의 가려움"
202401763,클로엠알파정,Chloem Alpha Tab.,(주)마더스제약,MOTHER'S PHARMACEUTICAL.,클로르족사존/에텐자미드/카페인수화물,"미결정셀룰로오스,히프로멜로오스,산화티탄,폴리에틸렌글리콜6000,스테아르산마그네슘,탤크,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Chlorzoxazone/Ethenzamide/Caffeine Hydrate,"신경통, 요통(허리통), 어깨결림"
202400843,클로하이정,Chlo High Tab.,메딕스제약(주),"Medix Pharm. CO.,LTD",클로르족사존/에텐자미드/카페인수화물,"미결정셀룰로오스,히프로멜로오스,산화티탄,폴리에틸렌글리콜6000,스테아르산마그네슘,탤크,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Chlorzoxazone/Ethenzamide/Caffeine Hydrate,"신경통, 요통(허리통), 어깨결림"
198300315,클로헥신크림,Chlohexin Cream,(주)대웅제약,Daewoong Pharmaceuticals,강세트리마이드40%용액/클로르헥시딘글루콘산염액,"메틸파라벤,프로필파라벤,에탄올(95),세토스테아릴알코올,경질유동파라핀,정제수",,일반의약품,Strong Cetrimide Solution 40%/Chlorhexidine Gluconate Solution,"경증의 외상ㆍ화상, 창상면의 살균소독"
200705612,클록스액(시클로피록스올아민),CLROX Solution (Ciclopirox Olamine),제이더블유신약(주),JW sinyak,시클로피록스올아민,"디나트륨라우레스설포숙시네이트,프로필렌글리콜,SHAMPOO 5P09478,인산,코카미드디이에이,폴리옥시에틸렌라우릴에테르황산나트륨,정제수",,일반의약품,Ciclopirox Olamine,지루성피부염
201403139,클리넬네일라카(아모롤핀염산염),Clinel Nail Lacquer (Amorolfine Hydrochloride),알보젠코리아(주),"Alvogen Korea Co., Ltd.",아모롤핀염산염,"우레아,암모니오메타크릴레이트공중합체,아세트산 에틸,에탄올(95)",,일반의약품,Amorolfine Hydrochloride,"피부사상균, 효모균 및 곰팡이에 의한 조갑진균증(손발톱진균증) (감염부위가 조갑(손발톱) 표면의 80% 이하인 경우)"
202401075,클리담정,Cleadam Tab.,삼진제약(주),"SAMJIN PHARM.CO.,LTD",클로르족사존/에텐자미드/카페인수화물,"미결정셀룰로오스,히프로멜로오스,산화티탄,폴리에틸렌글리콜6000,스테아르산마그네슘,탤크,전분글리콜산나트륨,히드록시프로필셀룰로오스",,일반의약품,Chlorzoxazone/Ethenzamide/Caffeine Hydrate,"신경통, 요통(허리통), 어깨결림"
